input_identifier,resolved_identifier,record_type,name,latitude_dd,longitude_dd,country,state,city,source_dataset,nasr_cycle_date,appears_in,source_url,notes
DAG,DAG,Airport / landing facility,BARSTOW-DAGGETT,34.85372222,-116.78669444,US,CA,DAGGETT,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
DAG,DAG,Navigation aid,DAGGETT,34.96245694,-116.57816638,US,CA,DAGGETT,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_IFR
DANDD,DANDD,Fix / reporting point / waypoint,,39.39709444,-103.93913333,US,CO,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH,STAR"
DCA,DCA,Airport / landing facility,RONALD REAGAN WASHINGTON NTL,38.85144027,-77.03772138,US,DC,WASHINGTON,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
DCA,DCA,Navigation aid,WASHINGTON,38.85945277,-77.03643611,US,DC,WASHINGTON,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
DEBRL,DEBRL,Fix / reporting point / waypoint,,29.29686944,-81.13413333,US,FL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
DEN,DEN,Airport / landing facility,DENVER INTL,39.86166666,-104.67316666,US,CO,DENVER,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
DEN,DEN,Navigation aid,DENVER,39.81251405,-104.66074008,US,CO,DENVER,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
DEN,DEN,Navigation aid,DENVER,39.870467,-104.65483177,US,CO,DENVER,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOT; status=OPERATIONAL_IFR
DFENC,DFENC,Fix / reporting point / waypoint,,35.91974722,-77.06042777,US,NC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
DFW,DFW,Airport / landing facility,DALLAS-FORT WORTH INTL,32.89723305,-97.03769472,US,TX,DALLAS-FORT WORTH,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
